idCrime,dataCrime,numeroArtigo,lugarCrime,descricaoCrime,marcaCelular
1493,28/02/2021,157,SAO PAULO,ROUBO (ART. 157) - INTERIOR ESTABELECIMENTO,LG
182,30/11/2018,,SAO PAULO,FURTO (ART. 155) - OUTROS,MOTOROLA
1488,03/01/2021,157,BATATAIS,ROUBO (ART. 157) - CONDOMINIO RESIDENCIAL,XIAOMI
1298,29/11/2021,155,SAO CAETANO DO SUL,FURTO (ART. 155) - INTERIOR ESTABELECIMENTO,SAMSUNG
665,09/01/2019,157,SAO PAULO,ROUBO (ART. 157) - TRANSEUNTE,APPLE
1389,03/01/2021,157,SAO PAULO,ROUBO (ART. 157) - OUTROS,ASUS
536,25/12/2018,155,RIBEIRAO PRETO,FURTO (ART. 155) - VEICULO,APPLE
1337,12/01/2021,,,,MOTOROLA
1170,25/11/2021,155,OSASCO,FURTO (ART. 155) - OUTROS,LG
216,30/04/2018,,SAO PAULO,ROUBO (ART. 157) - TRANSEUNTE,QUANTUM
4,16/11/2018,155,SOROCABA,FURTO (ART. 155) - OUTROS,SAMSUNG
127,30/11/2018,155,SAO BERNARDO DO CAMPO,,LENOVO
304,05/01/2018,157,SUZANO,,ASUS
554,31/01/2019,155,SAO PAULO,FURTO (ART. 155) - TRANSEUNTE,ASUS
1414,03/01/2021,157,SAO BERNARDO DO CAMPO,ROUBO (ART. 157) - OUTROS,SAMSUNG
564,31/01/2019,155,SAO PAULO,FURTO (ART. 155) - INTERIOR DE VEICULO,APPLE
178,23/11/2018,,EMBU DAS ARTES,FURTO (ART. 155) - OUTROS,MOTOROLA
91,30/11/2018,155,SAO PAULO,,APPLE
1107,29/08/2020,155,RIBEIRAO PRETO,FURTO (ART. 155) - OUTROS,MOTOROLA
933,31/12/2019,157,SAO PAULO,ROUBO (ART. 157) - OUTROS,OUTROS
862,01/01/2020,157,DIADEMA,ROUBO (ART. 157) - TRANSEUNTE,SAMSUNG
599,31/08/2019,157,CARAPICUIBA,ROUBO (ART. 157) - INTERIOR ESTABELECIMENTO,SAMSUNG
1135,31/08/2020,155,SAO PAULO,FURTO (ART. 155) - OUTROS,MOTOROLA
308,30/04/2018,157,SAO PAULO,,SAMSUNG
1520,28/02/2021,157,JUNDIAI,ROUBO (ART. 157) - TRANSEUNTE,SAMSUNG
691,31/08/2019,,,ROUBO (ART. 157) - OUTROS,SAMSUNG
955,31/08/2020,155,SAO PAULO,FURTO (ART. 155) - OUTROS,MOTOROLA
50,30/11/2018,155,,FURTO (ART. 155) - OUTROS,SAMSUNG
925,01/01/2020,157,UBATUBA,ROUBO (ART. 157) - TRANSEUNTE,APPLE
609,09/01/2019,157,SAO PAULO,ROUBO (ART. 157) - VEICULO,SAMSUNG
228,30/04/2018,,,,
966,31/08/2020,155,FRANCO DA ROCHA,FURTO (ART. 155) - OUTROS,SAMSUNG
886,01/01/2020,157,ITAQUAQUECETUBA,ROUBO (ART. 157) - VEICULO,LG
1513,03/01/2021,157,SANTO ANDRE,ROUBO (ART. 157) - OUTROS,SAMSUNG
1531,28/02/2021,157,SAO PAULO,ROUBO (ART. 157) - OUTROS,MOTOROLA
689,09/01/2019,,,ROUBO (ART. 157) - OUTROS,SAMSUNG
1218,30/11/2021,155,SAO PAULO,FURTO (ART. 155) - OUTROS,XIAOMI
1238,30/11/2021,155,SAO PAULO,FURTO (ART. 155) - OUTROS,SAMSUNG
1321,12/01/2021,,,,APPLE
545,31/01/2019,171,SANTO ANDRE,ESTELIONATO (ART. 171),
321,05/01/2018,157,CARAPICUIBA,ROUBO (ART. 157) - TRANSEUNTE,LG
1217,24/11/2021,155,SAO PAULO,FURTO (ART. 155) - OUTROS,SAMSUNG
1490,03/01/2021,157,SAO PAULO,ROUBO (ART. 157) - TRANSEUNTE,MOTOROLA
463,31/01/2019,155,SAO PAULO,A.I.-FURTO QUALIFICADO (ART. 155) - TRANSEUNTE,APPLE
1047,26/08/2020,155,SAO PAULO,FURTO (ART. 155) - INTERIOR TRANSPORTE COLETIVO,SAMSUNG
620,30/08/2019,157,SAO JOSE DOS CAMPOS,ROUBO (ART. 157) - OUTROS,MOTOROLA
1265,28/11/2021,155,SAO PAULO,FURTO (ART. 155) - OUTROS,APPLE
603,31/08/2019,157,SANTO ANDRE,ROUBO (ART. 157) - OUTROS,SAMSUNG
166,30/11/2018,,SAO PAULO,FURTO (ART. 155) - OUTROS,
132,12/01/2018,155,SAO PAULO,,
1168,30/11/2021,155,SAO PAULO,FURTO (ART. 155) - TRANSEUNTE,SAMSUNG
611,31/08/2019,157,SAO PAULO,ROUBO (ART. 157) - OUTROS,SAMSUNG
894,31/12/2019,157,SANTO ANDRE,ROUBO (ART. 157) - TRANSEUNTE,SAMSUNG
1311,12/01/2021,155,SAO PAULO,FURTO (ART. 155) - OUTROS,MOTOROLA
472,31/01/2019,155,SAO PAULO,FURTO (ART. 155) - OUTROS,MOTOROLA
1495,25/02/2021,157,SAO PAULO,ROUBO (ART. 157) - VEICULO,LG
1280,30/11/2021,155,SAO PAULO,FURTO (ART. 155) - OUTROS,SAMSUNG
517,27/01/2019,155,FRANCO DA ROCHA,FURTO (ART. 155) - RESIDENCIA,MOTOROLA
245,30/04/2018,157,SAO PAULO,,XIAOMI
1499,28/02/2021,157,PINDAMONHANGABA,ROUBO (ART. 157) - TRANSEUNTE,SAMSUNG
885,31/12/2019,157,SAO PAULO,ROUBO (ART. 157) - TRANSEUNTE,SAMSUNG
191,12/01/2018,,DRACENA,FURTO (ART. 155) - OUTROS,XIAOMI
101,30/11/2018,155,SAO PAULO,,APPLE
85,29/11/2018,155,TATUI,,SAMSUNG
326,30/04/2018,157,SANTOS,ROUBO (ART. 157) - TRANSEUNTE,MOTOROLA
231,21/04/2018,,,,
1409,03/01/2021,157,SAO PAULO,ROUBO (ART. 157) - OUTROS,APPLE
584,30/08/2019,157,SANTO ANDRE,ROUBO (ART. 157) - OUTROS,SAMSUNG
140,30/11/2018,155,SAO PAULO,FURTO (ART. 155) - COLETIVO,
1449,03/01/2021,157,SANTOS,ROUBO (ART. 157) - TRANSEUNTE,OUTROS
1054,30/08/2020,155,SAO PAULO,FURTO (ART. 155) - OUTROS,MOTOROLA
608,17/08/2019,157,SAO PAULO,ROUBO (ART. 157) - INTERIOR DE VEICULO,SAMSUNG
99,12/01/2018,155,SAO PAULO,,MOTOROLA
507,31/01/2019,155,CAMPINAS,FURTO (ART. 155) - OUTROS,MOTOROLA
698,31/08/2019,,,ROUBO (ART. 157) - TRANSEUNTE,SAMSUNG
1208,30/11/2021,155,SAO PAULO,FURTO (ART. 155) - OUTROS,SAMSUNG
1466,25/02/2021,157,SAO PAULO,ROUBO (ART. 157) - TRANSEUNTE,LG
728,31/08/2019,157,SAO PAULO,ROUBO (ART. 157) - VEICULO,
206,30/04/2018,,SAO PAULO,ROUBO (ART. 157) - TRANSEUNTE,MOTOROLA
534,28/01/2019,155,COSMOPOLIS,FURTO (ART. 155) - OUTROS,SAMSUNG
441,31/01/2019,155,SAO PAULO,FURTO (ART. 155) - OUTROS,SAMSUNG
1173,24/11/2021,155,SAO PAULO,FURTO (ART. 155) - OUTROS,ASUS
643,31/08/2019,157,SAO CRUZ DO RIO PARDO,ROUBO (ART. 157) - CARGA,SAMSUNG
478,30/01/2019,155,SAO PAULO,FURTO (ART. 155) - OUTROS,MOTOROLA
65,25/11/2018,155,,FURTO QUALIFICADO (ART. 155) - INTERIOR DE VEICULO,SAMSUNG
596,31/08/2019,157,EMBU DAS ARTES,ROUBO (ART. 157) - TRANSEUNTE,MOTOROLA
343,30/04/2018,157,DIADEMA,ROUBO (ART. 157) - INTERIOR DE VEICULO,SAMSUNG
1045,31/08/2020,155,ARACATUBA,FURTO (ART. 155) - INTERIOR DE VEICULO,OUTROS
76,30/11/2018,155,,,SAMSUNG
1501,23/02/2021,157,SAO CRUZ DO RIO PARDO,ROUBO (ART. 157) - OUTROS,MOTOROLA
251,30/04/2018,157,SAO PAULO,,MOTOROLA
443,02/01/2019,155,MARILIA,FURTO QUALIFICADO (ART. 155) - ESTABELECIMENTO COMERCIAL,OUTROS
358,29/04/2018,157,SAO PAULO,ROUBO (ART. 157) - TRANSEUNTE,SAMSUNG
1268,27/11/2021,155,SAO PAULO,FURTO (ART. 155) - OUTROS,SAMSUNG
131,30/11/2018,155,SAO PAULO,,SAMSUNG
1504,26/02/2021,157,SAO PAULO,ROUBO (ART. 157) - TRANSEUNTE,SAMSUNG
275,30/04/2018,157,CAMPINAS,,IPHONE
1193,28/11/2021,155,JAGUARIUNA,FURTO (ART. 155) - OUTROS,XIAOMI
715,09/01/2019,157,GUARUJA,ROUBO (ART. 157) - TRANSEUNTE,
731,31/08/2019,157,SOROCABA,ROUBO (ART. 157) - OUTROS,
1073,31/08/2020,155,SAO PAULO,FURTO (ART. 155) - TRANSEUNTE,OUTROS
555,31/01/2019,155,SAO BERNARDO DO CAMPO,FURTO (ART. 155) - INTERIOR ESTABELECIMENTO,SAMSUNG
1473,03/01/2021,157,,,MOTOROLA
907,01/01/2020,157,SAO PAULO,ROUBO (ART. 157) - TRANSEUNTE,ASUS
1056,09/01/2020,155,GUARATINGUETA,FURTO (ART. 155) - OUTROS,MOTOROLA
402,31/01/2019,155,SAO PAULO,FURTO (ART. 155) - OUTROS,SAMSUNG
1478,28/02/2021,157,,,
944,01/01/2020,157,SANTOS,ROUBO (ART. 157) - TRANSEUNTE,APPLE
41,30/11/2018,155,,FURTO (ART. 155) - OUTROS,LG
477,15/01/2019,155,SAO PAULO,FURTO (ART. 155) - RESIDENCIA,MOTOROLA
309,04/01/2018,157,SAO BERNARDO DO CAMPO,,SAMSUNG
493,30/01/2019,155,MOCOCA,FURTO (ART. 155) - RESIDENCIA,SAMSUNG
616,30/08/2019,157,VALINHOS,ROUBO (ART. 157) - OUTROS,SAMSUNG
1182,16/11/2021,155,SAO PAULO,FURTO (ART. 155) - OUTROS,SAMSUNG
1345,12/01/2021,155,SAO PAULO,FURTO (ART. 155) - OUTROS,SAMSUNG
364,30/04/2018,157,SAO PAULO,ROUBO (ART. 157) - VEICULO,ALCATEL
171,30/11/2018,,SAO VICENTE,FURTO (ART. 155) - OUTROS,
375,05/01/2018,157,HORTOLANDIA,ROUBO (ART. 157) - TRANSEUNTE,SAMSUNG
1105,25/01/2020,155,SAO PAULO,FURTO (ART. 155) - OUTROS,MOTOROLA
1049,09/01/2020,155,MIRASSOL,FURTO (ART. 155) - OUTROS,SAMSUNG
595,31/08/2019,157,SAO PAULO,ROUBO (ART. 157) - OUTROS,XIAOMI
437,31/01/2019,155,SAO PAULO,FURTO (ART. 155) - OUTROS,APPLE
936,01/01/2020,157,SANTOS,ROUBO (ART. 157) - OUTROS,OUTROS
816,31/12/2019,157,SAO PAULO,ROUBO (ART. 157) - OUTROS,SAMSUNG
480,31/01/2019,155,SAO PAULO,FURTO QUALIFICADO (ART. 155) - INTERIOR DE VEICULO,MOTOROLA
263,30/04/2018,157,SAO PAULO,,SONY
98,28/11/2018,155,MARILIA,,OUTROS
1163,28/11/2021,155,BARRETOS,FURTO (ART. 155) - OUTROS,SAMSUNG
1411,03/01/2021,157,CARAPICUIBA,ROUBO (ART. 157) - OUTROS,SONY
350,05/01/2018,157,SAO PAULO,ROUBO (ART. 157) - TRANSEUNTE,MOTOROLA
835,01/01/2020,,,,
223,30/04/2018,,,,
772,31/08/2019,157,SAO PAULO,ROUBO (ART. 157) - TRANSEUNTE,SAMSUNG
84,30/11/2018,155,SAO PAULO,,SAMSUNG
967,29/08/2020,155,SAO PAULO,FURTO (ART. 155) - OUTROS,APPLE
632,31/08/2019,157,SAO PAULO,ROUBO (ART. 157) - OUTROS,APPLE
1072,29/08/2020,155,SAO PAULO,FURTO (ART. 155) - OUTROS,MOTOROLA
284,30/04/2018,157,RIBEIRAO PRETO,,SAMSUNG
642,31/08/2019,157,SAO PAULO,ROUBO (ART. 157) - OUTROS,SAMSUNG
921,01/01/2020,157,SAO PAULO,ROUBO (ART. 157) - OUTROS,SAMSUNG
346,05/01/2018,157,SAO PAULO,ROUBO (ART. 157) - VEICULO,ASUS
677,31/08/2019,,,ROUBO (ART. 157) - OUTROS,APPLE
501,30/01/2019,155,SANTO ANDRE,FURTO (ART. 155) - OUTROS,MOTOROLA
959,29/08/2020,155,SAO PAULO,FURTO (ART. 155) - OUTROS,SAMSUNG
919,01/01/2020,157,RIBEIRAO PRETO,ROUBO (ART. 157) - VEICULO,SAMSUNG
803,31/12/2019,157,DIADEMA,ROUBO (ART. 157) - VEICULO,LG
21,30/11/2018,155,SAO PAULO,FURTO (ART. 155) - OUTROS,APPLE
1276,27/11/2021,155,SAO PAULO,FURTO (ART. 155) - OUTROS,APPLE
1393,28/02/2021,157,SAO PAULO,ROUBO (ART. 157) - INTERIOR TRANSPORTE COLETIVO,OUTROS
225,30/04/2018,,,,
405,31/01/2019,155,SAO PAULO,FURTO (ART. 155) - OUTROS,SAMSUNG
1435,03/01/2021,157,SAO PAULO,ROUBO (ART. 157) - TRANSEUNTE,MOTOROLA
563,30/01/2019,155,TUPA,FURTO (ART. 155) - RESIDENCIA,NOKIA
289,30/04/2018,157,SAO PAULO,,SAMSUNG
1335,26/11/2021,,,,SAMSUNG
762,09/01/2019,157,FERRAZ DE VASCONCELOS,ROUBO (ART. 157) - TRANSEUNTE,LG
319,29/04/2018,157,SAO PAULO,ROUBO (ART. 157) - TRANSEUNTE,APPLE
